participant,Setup:1,Peripheral_Corsi_Experiment:1,TIME_start,TIME_end,TIME_total
s.e7367f18-ad85-46de-8c3b-0d57aca3a59c.txt,"",Peripheral_Corsi.2022-04-08-2201.data.e7367f18-ad85-46de-8c3b-0d57aca3a59c.txt,2022-04-08-21-59,2022-04-08-22-01,2,
s.5d227706-aa60-4711-8bdb-60b996055e45.txt,okay,Peripheral_Corsi.2022-04-09-0309.data.5d227706-aa60-4711-8bdb-60b996055e45.txt,2022-04-09-03-07,2022-04-09-03-09,2,
s.15e686d8-3ba6-4bda-8941-cdfb8e2deb7a.txt,"",Peripheral_Corsi.2022-04-10-0259.data.15e686d8-3ba6-4bda-8941-cdfb8e2deb7a.txt,2022-04-10-02-58,2022-04-10-02-59,1,
s.9976a4d5-69bc-4f4b-b681-3f9ff655eca8.txt,Okay,Peripheral_Corsi.2022-04-10-1911.data.9976a4d5-69bc-4f4b-b681-3f9ff655eca8.txt,2022-04-10-19-10,2022-04-10-19-11,1,
s.cbd0a102-8a35-47bb-bb39-6cf951905582.txt,I don't see rose colored squares,Peripheral_Corsi.2022-04-10-1929.data.cbd0a102-8a35-47bb-bb39-6cf951905582.txt,2022-04-10-19-24,2022-04-10-19-29,5,
s.3f7ff943-c7bd-4217-a4fe-b4d3b7f44ef9.txt,"",Peripheral_Corsi.2022-04-10-1958.data.3f7ff943-c7bd-4217-a4fe-b4d3b7f44ef9.txt,2022-04-10-19-57,2022-04-10-19-58,1,
s.f94992b8-5dd7-4471-ad49-7c10f999278f.txt,"",Peripheral_Corsi.2022-04-10-2124.data.f94992b8-5dd7-4471-ad49-7c10f999278f.txt,2022-04-10-21-22,2022-04-10-21-24,2,
s.79a98445-00d6-4d42-a2ad-c138743522f9.txt,Okay,Peripheral_Corsi.2022-04-11-2003.data.79a98445-00d6-4d42-a2ad-c138743522f9.txt,2022-04-11-20-01,2022-04-11-20-03,2,
s.1bf4d4b4-4490-4075-af7f-5f729eb92fad.txt,"",Peripheral_Corsi.2022-04-11-2118.data.1bf4d4b4-4490-4075-af7f-5f729eb92fad.txt,2022-04-11-21-16,2022-04-11-21-18,2,
s.db6f2311-f62f-47f1-83be-b5e086302fad.txt,no,"",2022-04-11-21-51,"",""
s.a0219484-f29c-4c52-997f-546c910fccf0.txt,Okay,"",2022-04-11-22-18,"",""
s.344a1c80-93c3-4587-ae24-c8a6e2fa32c6.txt,"","",2022-04-11-22-20,"",""
s.b6394310-bdbf-4d6b-b1f2-f574b85c15a3.txt,Okay,"",2022-04-11-22-20,"",""
s.25490a8d-1fce-47e9-b30a-73d3e5b5db88.txt,Okay,Peripheral_Corsi.2022-04-11-2223.data.25490a8d-1fce-47e9-b30a-73d3e5b5db88.txt,2022-04-11-22-22,2022-04-11-22-23,1,
s.d9d85b0b-3242-48ce-8b2a-a0177b0afaf7.txt,"",Peripheral_Corsi.2022-04-11-2346.data.d9d85b0b-3242-48ce-8b2a-a0177b0afaf7.txt,2022-04-11-23-45,2022-04-11-23-46,1,
s.d6d3822f-6c3d-4031-a185-15b69e5a25dc.txt,Okay,Peripheral_Corsi.2022-04-12-0009.data.d6d3822f-6c3d-4031-a185-15b69e5a25dc.txt,2022-04-12-00-07,2022-04-12-00-09,2,
s.87c8be70-39ad-4dbf-9fbf-6336cc0c2097.txt,"",Peripheral_Corsi.2022-04-12-0048.data.87c8be70-39ad-4dbf-9fbf-6336cc0c2097.txt,2022-04-12-00-46,2022-04-12-00-48,2,
s.b47508c9-4bb5-42bc-b911-a78d5efade0d.txt,"Cool, got it. ",Peripheral_Corsi.2022-04-12-0136.data.b47508c9-4bb5-42bc-b911-a78d5efade0d.txt,2022-04-12-01-34,2022-04-12-01-36,2,
s.efcd6def-9391-4b95-abe6-2cc75f4d6a7a.txt,"",Peripheral_Corsi.2022-04-13-0353.data.efcd6def-9391-4b95-abe6-2cc75f4d6a7a.txt,2022-04-13-03-51,2022-04-13-03-53,2,
s.30710117-5af0-41ff-bcc4-169716464143.txt,y,Peripheral_Corsi.2022-04-13-1608.data.30710117-5af0-41ff-bcc4-169716464143.txt,2022-04-13-16-07,2022-04-13-16-08,1,
s.4126e7cb-7062-43f0-9c8d-74603a96d1ab.txt,ok,Peripheral_Corsi.2022-04-13-1854.data.4126e7cb-7062-43f0-9c8d-74603a96d1ab.txt,2022-04-13-18-52,2022-04-13-18-54,2,
s.9ed182c7-5de5-4203-b861-4aa56aad9619.txt,yes,Peripheral_Corsi.2022-04-13-1926.data.9ed182c7-5de5-4203-b861-4aa56aad9619.txt,2022-04-13-19-24,2022-04-13-19-26,2,
s.76d5e29e-d001-401a-8620-0e4df876ef74.txt,Okie Dokie,Peripheral_Corsi.2022-04-13-2207.data.76d5e29e-d001-401a-8620-0e4df876ef74.txt,2022-04-13-22-04,2022-04-13-22-07,3,
s.b4ef8546-215c-4e7d-85e7-c67b5783a900.txt,"",Peripheral_Corsi.2022-04-14-0221.data.b4ef8546-215c-4e7d-85e7-c67b5783a900.txt,2022-04-14-02-19,2022-04-14-02-21,2,
s.5288120c-fec1-4380-ac14-01a01275f051.txt,Okay,Peripheral_Corsi.2022-04-14-0341.data.5288120c-fec1-4380-ac14-01a01275f051.txt,2022-04-14-03-39,2022-04-14-03-41,2,
s.e98d9cbd-10d7-4263-be1e-a620eb56adc4.txt,"",Peripheral_Corsi.2022-04-14-0546.data.e98d9cbd-10d7-4263-be1e-a620eb56adc4.txt,2022-04-14-05-42,2022-04-14-05-46,4,
s.d0f6ac59-eb19-4839-815f-bd3a0080bd59.txt,"",Peripheral_Corsi.2022-04-14-0747.data.d0f6ac59-eb19-4839-815f-bd3a0080bd59.txt,2022-04-14-07-46,2022-04-14-07-47,1,
s.d37c088f-7d48-461e-b330-8d44e2b31e6c.txt,"",Peripheral_Corsi.2022-04-14-1513.data.d37c088f-7d48-461e-b330-8d44e2b31e6c.txt,2022-04-14-15-11,2022-04-14-15-13,2,
s.c8dd3a6a-dff0-4c92-a2b8-3a59bb9e0839.txt,"",Peripheral_Corsi.2022-04-14-2014.data.c8dd3a6a-dff0-4c92-a2b8-3a59bb9e0839.txt,2022-04-14-20-12,2022-04-14-20-14,2,
s.ef6356bf-e69b-4b27-b108-5592bf72b13e.txt,"",Peripheral_Corsi.2022-04-14-2023.data.ef6356bf-e69b-4b27-b108-5592bf72b13e.txt,2022-04-14-20-22,2022-04-14-20-23,1,
s.ddac4283-5e8e-4a84-acf8-daaab0baf784.txt,yes,Peripheral_Corsi.2022-04-14-2152.data.ddac4283-5e8e-4a84-acf8-daaab0baf784.txt,2022-04-14-21-51,2022-04-14-21-52,1,
s.28774a9a-158d-4498-8422-bd4e85a478f3.txt,"",Peripheral_Corsi.2022-04-14-2156.data.28774a9a-158d-4498-8422-bd4e85a478f3.txt,2022-04-14-21-54,2022-04-14-21-56,2,
s.af9f2938-1ba8-46b8-9b26-80f2ed75b991.txt,"",Peripheral_Corsi.2022-04-14-2230.data.af9f2938-1ba8-46b8-9b26-80f2ed75b991.txt,2022-04-14-22-29,2022-04-14-22-30,1,
s.c960a819-42be-4442-bec5-fd445ad2a439.txt,"",Peripheral_Corsi.2022-04-15-0010.data.c960a819-42be-4442-bec5-fd445ad2a439.txt,2022-04-15-00-08,2022-04-15-00-10,2,
s.b785a794-f64b-4622-8125-59de2cf2bd55.txt,"",Peripheral_Corsi.2022-04-15-0154.data.b785a794-f64b-4622-8125-59de2cf2bd55.txt,2022-04-15-01-53,2022-04-15-01-54,1,
s.761ed091-ae7a-4ace-b942-10fccce2bd2c.txt,"","",2022-04-15-02-15,"",""
s.01984d60-3803-490e-a555-8696560a6412.txt,"",Peripheral_Corsi.2022-04-15-0218.data.01984d60-3803-490e-a555-8696560a6412.txt,2022-04-15-02-16,2022-04-15-02-18,2,
s.e4ccf1c0-9479-4319-b0e7-639d368b583c.txt,"",Peripheral_Corsi.2022-04-15-0442.data.e4ccf1c0-9479-4319-b0e7-639d368b583c.txt,2022-04-15-04-40,2022-04-15-04-42,2,
